k[1/A]	HH	LH	SO
0.0	(-0.0868471462092476+0j)	(-0.019278431549811792+0j)	(0.001965680691306176-0j)
0.00101010101010101	(0.001946699222613858-0j)	(-0.08686085914117997+0j)	(-0.01929435610739572+0j)
0.00202020202020202	(0.0018897830842779743-0j)	(-0.08690200425326035+0j)	(-0.01934215173160517+0j)
0.0030303030303030303	(0.0017950171405811742-0j)	(-0.08697060051944883+0j)	(-0.08697060051944881+0j)
0.00404040404040404	(0.0016625430314250742-0j)	(-0.08706667964682585+0j)	(-0.019533663783689505+0j)
0.00505050505050505	(0.0014925594570214511-0j)	(-0.08719028620171296+0j)	(-0.01967764427827588+0j)
0.006060606060606061	(0.0012853225471938965-0j)	(-0.08734147778704095+0j)	(-0.019854024323414557+0j)
0.007070707070707071	(0.0010411462852212335-0j)	(-0.08752032527176175+0j)	(-0.020063047033432427+0j)
0.00808080808080808	(0.000760402946494949-0j)	(-0.08772691307332214+0j)	(-0.020305000266274218+0j)
0.00909090909090909	(0.00044352350194917144-0j)	(-0.08796133949443635+0j)	(-0.020580216690159824+0j)
0.0101010101010101	(9.09979252833067e-05-0j)	(-0.08822371711560602+0j)	(-0.020889073698287065+0j)
0.011111111111111112	(-0.00029662466841079524+0j)	(-0.0885141732450402+0j)	(-0.021231993097538655+0j)
0.012121212121212121	(-0.000718736136570147+0j)	(-0.0888328504278202+0j)	(-0.02160944048539634+0j)
0.013131313131313131	(-0.0011746697707961159+0j)	(-0.08917990701633115+0j)	(-0.022021924217873523+0j)
0.014141414141414142	(-0.0016637012114919176+0j)	(-0.0895555178041416+0j)	(-0.022469993860998547+0j)
0.015151515151515152	(-0.0021850499288306275+0j)	(-0.08995987472564317+0j)	(-0.022954238010206657+0j)
0.01616161616161616	(-0.0027378813880941507+0j)	(-0.09039318762386434+0j)	(-0.02347528135718754+0j)
0.01717171717171717	(-0.003321310017331531+0j)	(-0.09085568508893159+0j)	(-0.02403378088376553+0j)
0.01818181818181818	(-0.003934403088761453+0j)	(-0.09134761536965846+0j)	(-0.024630421068908493+0j)
0.01919191919191919	(-0.004576185610742836+0j)	(-0.09186924736068723+0j)	(-0.025265908009615246+0j)
0.0202020202020202	(-0.005245646302996211+0j)	(-0.09242087166747312+0j)	(-0.025940962380710014+0j)
0.021212121212121213	(-0.0059417446930652255+0j)	(-0.0930028017511668+0j)	(-0.026656311193498525+0j)
0.022222222222222223	(-0.0066634193265155146+0j)	(-0.09361537515510075+0j)	(-0.006663419326515515+0j)
0.023232323232323233	(-0.007409597027922318+0j)	(-0.0942589548140894+0j)	(-0.028210774118072483+0j)
0.024242424242424242	(-0.008179203086504088+0j)	(-0.09493393044708595+0j)	(-0.029051283462296813+0j)
0.025252525252525252	(-0.00897117217303721+0j)	(-0.09564072003286717+0j)	(-0.029934853742202176+0j)
0.026262626262626262	(-0.009784459728589875+0j)	(-0.09637977136730207+0j)	(-0.009784459728589873+0j)
0.02727272727272727	(-0.010618053506903865+0j)	(-0.09715156369935989+0j)	(-0.010618053506903863+0j)
0.028282828282828285	(-0.011470984907645585+0j)	(-0.09795660944128246+0j)	(-0.03284956595434035+0j)
0.029292929292929294	(-0.012342339713534874+0j)	(-0.09879545594623484+0j)	(-0.0339106452613869+0j)
0.030303030303030304	(-0.013231267845386852+0j)	(-0.0996686873441969+0j)	(-0.0350170042658783+0j)
0.031313131313131314	(-0.014136991777820605+0j)	(-0.10057692642382553+0j)	(-0.014136991777820589+0j)
0.03232323232323232	(-0.015058813314184624+0j)	(-0.10152083654443592+0j)	(-0.03736606041470355+0j)
0.03333333333333333	(-0.015996118498237826+0j)	(-0.03860870050056804+0j)	(-0.03860870050056808+0j)
0.03434343434343434	(-0.016948380535512758+0j)	(-0.1035185377168563+0j)	(-0.03989649450448565+0j)
0.03535353535353535	(-0.017915160700264603+0j)	(-0.10457387553525908+0j)	(-0.017915160700264585+0j)
0.03636363636363636	(-0.01889610730490691+0j)	(-0.10566798157096154+0j)	(-0.042605978030185364+0j)
0.03737373737373737	(-0.01989095289890298+0j)	(-0.10680175008102126+0j)	(-0.04402654787535486+0j)
0.03838383838383838	(-0.020899509936093054+0j)	(-0.10797612650288559+0j)	(-0.0208995099360931+0j)
0.03939393939393939	(-0.02192166519889788+0j)	(-0.10919210870196198+0j)	(-0.021921665198897884+0j)
0.0404040404040404	(-0.022957373293188567+0j)	(-0.11045074791948895+0j)	(-0.04854210898878016+0j)
0.04141414141414142	(-0.024006649530038743+0j)	(-0.11175314934651992+0j)	(-0.024006649530038712+0j)
0.04242424242424243	(-0.025069562493394273+0j)	(-0.11310047224234779+0j)	(-0.05175370461192037+0j)
0.043434343434343436	(-0.026146226560602476+0j)	(-0.11449392950916285+0j)	(-0.05341619472562517+0j)
0.044444444444444446	(-0.02723679460092644+0j)	(-0.11593478662976994+0j)	(-0.02723679460092642+0j)
0.045454545454545456	(-0.0283414510306511+0j)	(-0.11742435987252818+0j)	(-0.028341451030651058+0j)
0.046464646464646465	(-0.029460405356461328+0j)	(-0.11896401366815344+0j)	(-0.05861319361246259+0j)
0.047474747474747475	(-0.12055515706754344+0j)	(-0.06041013238817413+0j)	(-0.030593886294756425+0j)
0.048484848484848485	(-0.12219923919925439+0j)	(-0.062236601065342755+0j)	(-0.06223660106534271+0j)
0.049494949494949494	(-0.12389774366053352+0j)	(-0.06409086403775223+0j)	(-0.06409086403775222+0j)
0.050505050505050504	(-0.12565218179755291+0j)	(-0.06597115259479172+0j)	(-0.03408395819682167+0j)
0.051515151515151514	(-0.12746408485910238+0j)	(-0.06787567614810414+0j)	(-0.0678756761481042+0j)
0.052525252525252523	(-0.1293349950434084+0j)	(-0.06980263400393519+0j)	(-0.06980263400393523+0j)
0.05353535353535353	(-0.1312664554994009+0j)	(-0.07175022766990136+0j)	(-0.07175022766990134+0j)
0.05454545454545454	(-0.1332599993903058+0j)	(-0.07371667364240957+0j)	(-0.03895610617121412+0j)
0.05555555555555555	(-0.13531713817700206+0j)	(-0.07570021657234312+0j)	(-0.040214890899317984+0j)
0.05656565656565657	(-0.13743934932835364+0j)	(-0.07769914265543908+0j)	(-0.07769914265543905+0j)
0.05757575757575758	(-0.13962806371245418+0j)	(-0.07971179304405128+0j)	(-0.07971179304405127+0j)
0.05858585858585859	(-0.14188465296270744+0j)	(-0.0817365770330007+0j)	(-0.08173657703300073+0j)
0.0595959595959596	(-0.14421041714213115+0j)	(-0.08377198473819106+0j)	(-0.08377198473819107+0j)
0.06060606060606061	(-0.14660657304482683+0j)	(-0.08581659896637285+0j)	(-0.08581659896637293+0j)
0.06161616161616162	(-0.14907424347251852+0j)	(-0.0878691059707868+0j)	(-0.08786910597078693+0j)
0.06262626262626263	(-0.15161444780496694+0j)	(-0.08992830480205713+0j)	(-0.08992830480205709+0j)
0.06363636363636363	(-0.15422809414586902+0j)	(-0.0919931149967691+0j)	(-0.09199311499676908+0j)
0.06464646464646465	(-0.15691597327216145+0j)	(-0.0940625823961136+0j)	(-0.0940625823961136+0j)
0.06565656565656566	(-0.15967875454760747+0j)	(-0.0961358829506988+0j)	(-0.09613588295069887+0j)
0.06666666666666667	(-0.16251698388554667+0j)	(-0.09821232444069604+0j)	(-0.1625169838855467+0j)
0.06767676767676768	(-0.16543108376601148+0j)	(-0.10029134611763538+0j)	(-0.10029134611763536+0j)
0.06868686868686869	(-0.16842135523454865+0j)	(-0.10237251634985259+0j)	(-0.10237251634985259+0j)
0.0696969696969697	(-0.17148798173923874+0j)	(-0.10445552842259556+0j)	(-0.17148798173923838+0j)
0.0707070707070707	(-0.1746310346028942+0j)	(-0.10654019470174642+0j)	(-0.10654019470174637+0j)
