k[1/A]	HH	LH	SO
0.0	(-0+0j)	(-0+0j)	(-0.044+0j)
0.00101010101010101	(-0.04401271187360961+0j)	(-1.0262576930571107e-05+0j)	(-1.5160352372309812e-05+0j)
0.00202020202020202	(-0.04405085076683149+2.7601577151882937e-70j)	(-4.1050307722269224e-05+1.6740996333162743e-18j)	(-6.063813709606314e-05+3.880683969277725e-19j)
0.0030303030303030303	(-0.0441144265023037+0j)	(-0.00013642353153326528+0j)	(-9.236319237511059e-05+0j)
0.00404040404040404	(-0.044203455469267044+0j)	(-0.00016420123088908183+0j)	(-0.00024250014644305938+0j)
0.00505050505050505	(-0.04431796065077121+0j)	(-0.00025656442326419955+0j)	(-0.0003788449987758817+0j)
0.006060606060606061	(-0.04445797166163987+0j)	(-0.0003694527695004422+0j)	(-0.0005454284737079323+0j)
0.007070707070707071	(-0.044623524797070276+0j)	(-0.0005028662695978251+0j)	(-0.0007422142760419918+0j)
0.00808080808080808	(-0.044814663091698376+0j)	(-0.000656804923556342+0j)	(-0.0009691593711421656+0j)
0.00909090909090909	(-0.04503143638891771+0j)	(-0.0008312687313760008+0j)	(-0.0008312687313759967+0j)
0.0101010101010101	(-0.04527390142018996+0j)	(-0.0010262576930567845+0j)	(-0.0015133211779983968+0j)
0.011111111111111112	(-0.045542121894028356+0j)	(-0.0012417718085987112+0j)	(-0.0012417718085987108+0j)
0.012121212121212121	(-0.04583616859427468+0j)	(-0.0021774319471165133+0j)	(-0.0014778110780017772+0j)
0.013131313131313131	(-0.04615611948721919+0j)	(-0.0017343755012659712+0j)	(-0.0025542867037190377+0j)
0.014141414141414142	(-0.046502059837035994+0j)	(-0.0020114650783912974+0j)	(-0.0029608964554130664+0j)
0.015151515151515152	(-0.046874082328917745+0j)	(-0.00230907980937777+0j)	(-0.003397168517005956+0j)
0.01616161616161616	(-0.04727228719919655+0j)	(-0.002627219694225376+0j)	(-0.003863002652165565+0j)
0.01717171717171717	(-0.047696782371628714+0j)	(-0.002965884732934119+0j)	(-0.002965884732934114+0j)
0.01818181818181818	(-0.04814768359890034+0j)	(-0.0033250749255039898+0j)	(-0.0033250749255039867+0j)
0.01919191919191919	(-0.048625114608276336+0j)	(-0.003704790271934999+0j)	(-0.005436758971183531+0j)
0.0202020202020202	(-0.049129207250171295+0j)	(-0.0041050307722271554+0j)	(-0.004105030772227141+0j)
0.021212121212121213	(-0.0496601016482577+0j)	(-0.004525796426380433+0j)	(-0.006631550009752767+0j)
0.022222222222222223	(-0.05021794634955492+0j)	(-0.004967087234394849+0j)	(-0.0049670872343948414+0j)
0.023232323232323233	(-0.05080289847275437+0j)	(-0.005428903196270397+0j)	(-0.0054289031962704+0j)
0.024242424242424242	(-0.05141512385283534+0j)	(-0.005911244312007096+0j)	(-0.005911244312007086+0j)
0.025252525252525252	(-0.052054797179813456+0j)	(-0.0064141105816049124+0j)	(-0.009365344058863563+0j)
0.026262626262626262	(-0.05272210212923688+0j)	(-0.006937502005063873+0j)	(-0.006937502005063875+0j)
0.02727272727272727	(-0.05341723148181706+0j)	(-0.007481418582383977+0j)	(-0.00748141858238398+0j)
0.028282828282828285	(-0.05414038722933363+0j)	(-0.008045860313565202+0j)	(-0.008045860313565207+0j)
0.029292929292929294	(-0.054891780663716624+0j)	(-0.008630827198607567+0j)	(-0.00863082719860756+0j)
