k[1/A]	HH	LH	SO
0.0	(-0.0478090428289499+0j)	(-0.0024817685732395267+0j)	(0.0001224667564887933-0j)
0.00101010101010101	(0.00010802855540657235-0j)	(-0.00249361802563079+0j)	(-0.002493618025630796+0j)
0.00202020202020202	(6.474625281973172e-05-0j)	(-0.002529194932819421+0j)	(-0.002529194932819428+0j)
0.0030303030303030303	(-0.047925125424897075+0j)	(-7.282463226756982e-06+0j)	(-0.002588585723555409+0j)
0.00404040404040404	(-0.00010789216778212407+0j)	(-0.0026719370327790994+0j)	(-0.0026719370327791003+0j)
0.00505050505050505	(-0.0481316197428662+0j)	(-0.0027794595431010075+0j)	(-0.002779459543101005+0j)
0.006060606060606061	(-0.04827367780905778+0j)	(-0.0029114332520166885+0j)	(-0.0029114332520166885+0j)
0.007070707070707071	(-0.048441662799512085+0j)	(-0.003068213973234399+0j)	(-0.0030682139732343947+0j)
0.00808080808080808	(-0.04863562413957579+0j)	(-0.0032502407005264413+0j)	(-0.003250240700526447+0j)
0.00909090909090909	(-0.04885561911343463+0j)	(-0.003458043176255389+0j)	(-0.0034580431762553875+0j)
0.0101010101010101	(-0.049101712972205294+0j)	(-0.003692248589430193+0j)	(-0.0036922485894302004+0j)
0.011111111111111112	(-0.049373979055594985+0j)	(-0.0039535857780840155+0j)	(-0.0015819492435111616+0j)
0.012121212121212121	(-0.04967249892675346+0j)	(-0.004242884681831159+0j)	(-0.004242884681831153+0j)
0.013131313131313131	(-0.049997362519863746+0j)	(-0.0045610682376218655+0j)	(-0.004561068237621856+0j)
0.014141414141414142	(-0.050348668299925445+0j)	(-0.004909133730706266+0j)	(-0.004909133730706253+0j)
0.015151515151515152	(-0.05072652343408034+0j)	(-0.005288121226189168+0j)	(-0.0052881212261891635+0j)
0.01616161616161616	(-0.05113104397371103+0j)	(-0.005699068523703193+0j)	(-0.0033691360694543615+0j)
0.01717171717171717	(-0.05156235504640306+0j)	(-0.006142955187344709+0j)	(-0.006142955187344695+0j)
0.01818181818181818	(-0.05202059105671091+0j)	(-0.006620642001172627+0j)	(-0.006620642001172631+0j)
0.01919191919191919	(-0.05250589589449057+0j)	(-0.007132815276432482+0j)	(-0.007132815276432476+0j)
0.0202020202020202	(-0.05301842314936668+0j)	(-0.007679946081975611+0j)	(-0.007679946081975599+0j)
0.021212121212121213	(-0.053558336329687095+0j)	(-0.008262271755014507+0j)	(-0.005627535893948608+0j)
0.022222222222222223	(-0.05412580908407501+0j)	(-0.008879801711629484+0j)	(-0.006127411575954358+0j)
0.023232323232323233	(-0.05472102542342678+0j)	(-0.009532343804371977+0j)	(-0.00664289797375287+0j)
0.024242424242424242	(-0.05534417994091617+0j)	(-0.010219543585727828+0j)	(-0.010219543585727821+0j)
0.025252525252525252	(-0.05599547802725486+0j)	(-0.010940927919599157+0j)	(-0.007721450225135637+0j)
